Word,Emotion
1k,pride
2013,grief
2am,disgust
30k,grief
31m,embarrassment
600ms,disappointment
81,pride
absent,nervousness
absolutely,neutral
abuse,caring
abused,embarrassment
accent,grief
accidentally,embarrassment
accomplishment,pride
acne,nervousness
actor,pride
actually,amusement
adorable,admiration
ads,disapproval
adventure,excitement
advice,gratitude
afraid,fear
aggressively,anger
agree,approval
agreed,approval
ah,gratitude
ahahaha,amusement
ahhhh,pride
album,admiration
alert,fear
alive,grief
amaze,surprise
amazed,surprise
amazing,admiration
amazingly,admiration
ambitious,desire
anger,anger
angry,anger
anniversary,love
annoyed,annoyance
annoying,annoyance
answering,gratitude
anticipated,nervousness
ants,disgust
anxiety,nervousness
anxious,nervousness
anymore,disappointment
apologies,remorse
apologised,relief
apologize,remorse
apologized,remorse
apology,remorse
appalled,fear
applaud,admiration
appreciate,gratitude
appreciated,admiration
appreciation,gratitude
appropriate,grief
aren,disapproval
argentina,grief
argh,anger
argument,annoyance
arrangement,nervousness
articulate,embarrassment
ashamed,embarrassment
ask,curiosity
ass,anger
asshole,anger
assholes,anger
associated,grief
assumed,embarrassment
astonishing,relief
athletic,pride
atlantic,relief
authoritarian,relief
autistic,nervousness
autonomy,desire
aware,realization
away,grief
awesome,admiration
awful,disgust
awkward,embarrassment
aww,excitement
bad,disappointment
baiting,disgust
bastard,anger
bastards,anger
beast,pride
beautiful,admiration
beauty,admiration
beirt,confusion
believe,surprise
bengals,surprise
benzos,nervousness
best,admiration
better,caring
bfv,desire
birthday,excitement
bitch,anger
blades,joy
blast,joy
bless,caring
bliss,joy
blunder,desire
bmw,nervousness
boom,nervousness
boost,nervousness
boring,disappointment
bot,gratitude
brave,admiration
breathing,nervousness
brilliant,admiration
broke,sadness
buffets,disappointment
bullied,sadness
bullshit,anger
burn,anger
butterfly,pride
butthead,embarrassment
buzzwords,curiosity
cackled,amusement
cake,excitement
cakeday,excitement
calm,caring
cameras,relief
cancelled,relief
cannon,desire
care,caring
career,nervousness
careful,caring
cares,caring
caring,caring
carpet,disgust
carrier,nervousness
caucus,relief
causalchildabuse,confusion
celebrity,surprise
celebs,remorse
cheer,optimism
cheered,joy
cheers,joy
chickens,relief
childhood,sadness
chills,grief
choked,grief
chosen,remorse
christmas,excitement
chuckle,amusement
civilized,grief
clarification,gratitude
clarifying,gratitude
classes,pride
cleanup,relief
clearing,gratitude
cliche,optimism
clue,confusion
code,confusion
coins,pride
concede,grief
concern,caring
concerned,caring
conclusion,remorse
condolences,grief
confident,optimism
confused,confusion
confusing,confusion
confusion,confusion
congrats,gratitude
congratulations,gratitude
consideration,gratitude
contacting,relief
contribution,relief
cool,admiration
corn,pride
correct,approval
correcting,gratitude
correction,gratitude
cough,relief
coward,pride
craziest,excitement
crazy,excitement
creepy,fear
cried,sadness
cringe,fear
cringeworthy,embarrassment
cringey,embarrassment
cringy,embarrassment
cruel,anger
crush,love
crying,sadness
cubs,pride
cult,fear
cunts,anger
curiosity,curiosity
curious,curiosity
cute,admiration
cuter,pride
cutest,admiration
cynical,nervousness
dammit,disappointment
damn,annoyance
damnit,disappointment
dangerous,fear
dangerously,fear
dare,anger
dark,fear
daughters,joy
day,joy
db,relief
dead,grief
dealing,grief
death,grief
deaths,grief
definitely,approval
deflect,realization
deleting,nervousness
delicious,admiration
delusional,disapproval
demonize,nervousness
depressed,sadness
depressing,disappointment
depression,nervousness
describing,nervousness
deserve,caring
desperately,desire
destroyed,grief
destruction,grief
determined,pride
dev,relief
devastated,disgust
devastating,sadness
dfs,desire
diarrhea,sadness
diazepam,relief
did,curiosity
didn,realization
didnt,nervousness
died,grief
dint,remorse
dirty,disgust
disagree,disapproval
disappointed,disappointment
disappointing,disappointment
disappointment,disappointment
disappoints,disappointment
disaster,disappointment
discard,nervousness
disco,nervousness
disgust,disgust
disgusted,disgust
disgusting,disgust
disgusts,disgust
disheartening,sadness
disorders,nervousness
disrespect,anger
disrespected,disgust
dissapointed,disappointment
disturbed,disappointment
disturbing,annoyance
ditched,sadness
divorce,pride
dl,relief
doctor,caring
does,curiosity
doesn,disapproval
don,disapproval
dont,disapproval
dopamine,relief
doubt,confusion
downright,embarrassment
downvoted,disapproval
dread,fear
dreadful,fear
dream,desire
drone,nervousness
drowned,grief
druggies,nervousness
drunks,sadness
dude,caring
dull,disapproval
dumb,annoyance
dumbass,annoyance
duper,disgust
edgy,nervousness
elaborate,curiosity
elections,relief
elementary,disgust
eliminate,nervousness
embarassed,embarrassment
embarrass,embarrassment
embarrassed,embarrassment
embarrassing,embarrassment
embarrassment,embarrassment
encounters,embarrassment
encouragement,gratitude
